编号,位置,区,房型,所处楼层级别,总楼层数,建造年份,面积,朝向,关注数,是否有VR房源,是否近地铁,单位价格,挂牌年,挂牌月,挂牌日,总价,纬度,经度
0,锦江区顺江路49号,7,2|1,1,6,1998,63.0,4,88,1,0,11587.3,2019,10,21,73.0,30.64480587707361,104.09835909062667
1,锦江区华润路158号,7,2|1,3,29,2009,85.21,4,331,1,1,17603.6,2019,10,20,150.0,30.62000406247257,104.10178598780821
2,锦江区东大街芷泉段188号,7,3|1,2,38,2009,155.79,4,137,1,0,26959.4,2019,10,7,420.0,30.655936231979364,104.08961712994609
3,锦江区国香街666号,7,3|1,2,31,2014,89.33,6,36,1,0,22612.8,2020,2,26,202.0,30.6016347482838,104.14439846072548
4,锦江区龙王庙正街25号,7,1|0,3,11,2003,51.07,5,29,1,1,18014.5,2019,10,16,92.0,30.65569987506724,104.08359600011282
5,-1,7,-1,-1,-1,-1,-1.0,-1,-1,0,0,-1,-1,-1,-1,-1,-1.0,-1.0
6,锦江区东怡路79号,7,3|1,3,7,2001,77.7,4,14,1,0,13513.5,2019,10,6,105.0,30.6220102844229,104.11105380575462
7,锦江区牡丹街39号,7,2|1,1,37,2015,59.0,6,80,1,0,13220.3,2019,11,4,78.0,30.59735730552731,104.16108897350763
8,锦江区牡丹街692号,7,4|2,3,34,2013,97.0,4,106,1,0,43299.0,2019,4,22,420.0,30.60534731479341,104.14735343310731
9,龙泉驿区大面镇行政学院旁,7,3|2,1,29,2017,80.0,-1,206,1,1,17000.0,2019,10,13,136.0,30.60337905445233,104.171407359748
10,锦江区天仙桥北路3号,7,3|1,2,16,2003,132.13,-1,126,1,1,17785.5,2019,10,15,235.0,30.65692100479401,104.09251671640342
11,锦江区牛市口路56号,7,2|1,3,7,2000,64.29,4,217,1,0,11199.3,2019,3,26,72.0,30.647055493440398,104.11493221733632
12,锦江区萃锦东路342号,7,2|2,3,6,2017,62.17,4,105,1,0,12546.2,2019,7,2,78.0,30.621287493224678,104.11282139072694
13,锦江区镗钯街38号,7,4|2,3,50,2015,201.56,8,26,1,1,39690.4,2019,7,11,800.0,30.661904490317248,104.08956175659785
14,锦江区通源街588号,7,3|1,2,33,2017,81.19,5,94,1,0,27712.8,2019,10,9,225.0,30.64541390626655,104.11587599956272
15,锦江区合欢树街289号,7,2|2,2,18,2007,83.6,8,50,1,0,12559.8,2019,10,23,105.0,30.614126777319036,104.14299708077394
16,锦江区锦东路668号,7,2|1,3,32,2009,55.61,2,114,1,1,18701.7,2019,7,2,104.0,30.645006550122773,104.11234475341655
17,锦江区静祥路33号,7,2|2,2,34,2008,82.13,4,168,1,0,13636.9,2019,10,20,112.0,30.6063955762492,104.13066830656498
18,锦江区经天三街50号,7,3|1,3,6,2007,96.0,5,164,1,0,15625.0,2018,11,26,150.0,30.6036945048291,104.11466167466587
19,锦江区顺江路123号,7,3|2,2,17,2004,133.96,2,83,1,0,17020.0,2019,11,10,228.0,30.64260235889833,104.09931528833351
20,锦江区华润路158号,7,2|2,1,29,2009,85.21,4,110,1,1,17251.5,2019,9,17,147.0,30.62000406247257,104.10178598780821
21,锦江区玉沙路134号,7,3|2,3,6,1990,111.68,4,130,1,1,11192.7,2019,6,14,125.0,30.67173883967561,104.08898991327631
22,龙泉驿区东三环,7,3|2,1,35,2016,87.0,3,80,1,1,17471.3,2019,5,31,152.0,30.56269784099964,104.2813969643563
23,-1,7,2|2,3,29,2008,123.48,5,93,1,1,31179.1,2019,11,17,385.0,-1.0,-1.0
24,锦江区庆云南街69号,7,1|1,1,34,2012,40.47,4,50,1,1,34099.3,2019,4,5,138.0,30.6667790504677,104.09261047883764
25,锦江区梨花街12号,7,1|1,3,28,2010,52.49,4,34,0,1,12383.3,2019,4,26,65.0,30.66103538082377,104.07409033063006
26,锦江区东大路577号,7,3|2,3,43,2018,133.72,1,95,1,1,25800.2,2020,1,5,345.0,30.641720732501305,104.11620886666944
27,锦江区喜树街668号,7,2|1,1,34,2010,51.23,5,60,1,0,16982.2,2019,11,6,87.0,30.60125377904167,104.15235106598152
28,锦江区牡丹街199号,7,1|1,1,27,2017,43.0,4,50,1,0,19767.4,2020,1,2,85.0,30.598353509139184,104.15768659647331
29,锦江区盐道街6号,7,2|1,2,16,1999,73.49,5,99,1,1,25581.7,2019,6,9,188.0,30.65514416453079,104.07396821947054
30,锦江区东大路与静康路交汇处华宇广场,7,3|2,2,32,2017,71.79,2,92,1,1,20197.8,2019,11,13,145.0,30.628964918992878,104.12841499702377
31,锦江区成龙大道一段9号,7,3|1,3,6,2006,123.0,4,110,1,0,15447.2,2019,4,26,190.0,30.577689460644017,104.184827723372
32,锦江区琉璃一街76号,7,2|1,1,18,2010,80.97,-1,58,1,1,13832.3,2019,12,12,112.0,30.608936533113972,104.10353588694159
33,锦江区三官堂街31号,7,3|2,3,6,2004,124.68,8,135,1,0,19890.9,2019,9,23,248.0,30.630709849630122,104.10141898509208
34,锦江区静安路1号,7,3|1,1,3,2007,112.14,4,111,1,1,31746.0,2018,1,24,356.0,30.620450639831148,104.1237594002606
35,锦江区人民南路一段97号,7,2|1,2,24,2003,86.84,5,87,1,1,14970.1,2019,6,4,130.0,30.63905042154201,104.07312277205341
36,-1,7,-1,-1,-1,-1,-1.0,-1,-1,0,0,-1,-1,-1,-1,-1,-1.0,-1.0
37,锦江区榆钱街331号,7,2|1,3,34,2013,70.64,4,66,1,1,15727.6,2019,10,16,111.1,30.61046517568022,104.15807099038409
38,锦江区锦绣大道355号,7,3|2,2,42,2016,84.28,4,294,1,1,21120.1,2018,11,17,178.0,30.661904490317248,104.08956175659785
39,锦江区白桦林路29号,7,2|1,3,33,2010,90.0,6,78,1,0,16444.4,2019,8,23,148.0,30.59535214787435,104.14429282359072
40,锦江区一环路东五段108号,7,2|1,1,22,2007,67.59,5,42,0,0,11096.3,2019,11,20,75.0,30.65044762505819,104.0998970309818
41,锦江区东二环汇源北路99号,7,5|2,3,31,2016,230.0,4,87,1,0,32608.7,2019,7,26,750.0,30.642443058608734,104.12076674575924
42,锦江区合欢树街289号,7,2|1,3,18,2007,80.23,4,49,1,0,13959.9,2019,11,10,112.0,30.614126777319036,104.14299708077394
43,锦江区银木街675号,7,2|2,3,38,2017,62.47,4,33,1,1,17448.4,2019,10,11,109.0,30.606549900504017,104.16048100033848
44,锦江区静沙南路29号,7,3|2,3,34,2013,84.44,3,54,1,0,19895.8,2019,12,20,168.0,30.62514934928329,104.12119255694384
45,锦江区琉璃路299号,7,1|1,3,33,2012,47.0,4,120,1,0,24042.6,2019,5,19,113.0,30.62182869408504,104.09992663463987
46,锦江区国槐街1199号,7,1|1,3,6,2011,43.28,4,80,1,0,11552.7,2019,9,11,50.0,30.61987256062358,104.14074242018124
47,-1,7,-1,-1,-1,-1,-1.0,-1,-1,0,0,-1,-1,-1,-1,-1,-1.0,-1.0
48,锦江区马家沟188号,7,2|2,3,35,-1,73.0,4,43,1,0,19041.1,2019,5,29,139.0,30.627261012928425,104.11856272354643
